CODE;LEGENDA
3.00.40.01.00.40.6;Materiais dielétricos, piesoelétricos e ferroelétricos
3.00.40.01.00.50.4;Materiais e componentes eletroóticos e magnetoóticos, materiais fotoelétricos
3.00.40.01.00.60.2;Materiais e dispositivos magnéticos
3.00.40.02.00.10.8;Medidas elétricas
3.00.40.02.00.20.6;Medidas magnéticas
3.00.40.02.00.30.4;Instrumentação eletromecânica
3.00.40.02.00.40.2;Instrumentação eletrônica
3.00.40.02.00.50.0;Sistemas eletrônicos de medida e de controle
3.00.40.03.00.00.6;Circuitos elétricos, magnéticos e eletrônicos
3.00.40.03.00.10.4;Teoria geral dos circuitos elétricos
3.00.40.03.00.20.2;Circuitos lineares e não-lineares
3.00.40.03.00.30.0;Circuitos eletrônicos
3.00.40.03.00.40.9;Circuitos magnéticos, magnetismos, eletromagnetismo
3.00.40.04.00.00.2;Sistemas elétricos de potência
3.00.40.04.00.10.0;Geração da energia elétrica
3.00.40.04.00.20.9;Transmissão da energia elétrica, distribuição da energia elétrica
3.00.40.04.00.30.7;Conversão e retificação da energia elétrica
3.00.40.04.00.40.5;Medição, controle, correção e proteção de sistemas elétricos de potência
3.00.40.04.00.50.3;Máquinas elétricas e dispositivos de potência
3.00.40.04.00.60.1;Instalações elétricas prediais e industriais
3.00.40.05.00.00.9;Eletrônica industrial, sistemas e controles eletrônicos
3.00.40.05.00.10.7;Eletrônica industrial
3.00.40.05.00.20.5;Automação eletrônica de processos elétricos e industriais
3.00.40.05.00.30.3;Controle de processos eletrônicos, retroalimentação
3.00.40.06.00.00.5;Telecomunicações
3.00.40.06.00.10.3;Teoria eletromagnética, microondas, propagação de ondas, antenas
3.00.40.06.00.20.1;Radionavegação e radioastronomia
3.00.40.06.00.30.0;Sistemas de telecomunicações
3.00.50.00.00.00.1;Engenharia mecânica
3.00.50.01.00.00.8;Fenômenos de transporte
3.00.50.01.00.10.6;Transferência de calor
3.00.50.01.00.20.4;Mecânica dos fluídos
3.00.50.01.00.30.2;Dinâmica dos gases
3.00.50.01.00.40.0;Princípios variacionais e métodos numéricos
3.00.50.02.00.00.4;Engenharia térmica
3.00.50.02.00.10.2;Termodinâmica
3.00.50.02.00.20.0;Controle ambiental
3.00.50.02.00.30.9;Aproveitamento da energia
3.00.50.03.00.00.0;Mecânica dos sólidos
3.00.50.03.00.10.9;Mecânica dos corpos sólidos, elásticos e plásticos
3.00.50.03.00.20.7;Dinâmica dos corpos rígidos, elásticos e plásticos
3.00.50.03.00.30.5;Análise de tensões
3.00.50.03.00.40.3;Termoelasticidade
3.00.50.04.00.00.7;Projetos de máquinas
3.00.50.04.00.10.5;Teoria dos mecanismos
3.00.50.04.00.20.3;Estática e dinâmica aplicada
3.00.50.04.00.30.1;Elementos de máquinas
3.00.50.04.00.40.0;Fundamentos gerais de projetos das máquinas
3.00.50.04.00.50.8;Máquinas, motores e equipamentos
3.00.50.04.00.60.6;Métodos de síntese e otimização aplicados ao projeto mecânico
3.00.50.04.00.70.4;Controle de sistemas mecânicos
3.00.50.04.00.80.2;Aproveitamento de energia
3.00.50.05.00.00.3;Processos de fabricação
3.00.50.05.00.10.1;Matrizes e ferramentas
3.00.50.05.00.20.0;Máquinas de usinagem e conformação
3.00.50.05.00.30.8;Controle numérico
3.00.50.05.00.40.6;Robotização
3.00.50.05.00.50.4;Processos de fabricação, seleção econômica
3.00.60.00.00.00.6;Engenharia química
3.00.60.01.00.00.2;Processos industriais de engenharia química
3.00.60.01.00.10.0;Processos bioquímicos
3.00.60.01.00.20.9;Processos orgânicos
3.00.60.01.00.30.7;Processos inorgânicos
3.00.60.02.00.00.9;Operações industriais e equipamentos para engenharia química
3.00.60.02.00.10.7;Reatores químicos
3.00.60.02.00.20.5;Operações características de processos bioquímicos
3.00.60.02.00.30.3;Operações de separação e mistura
3.00.60.03.01.00.2;Detergentes
3.00.60.03.02.00.0;Tratamentos e aproveitamento de rejeitos
3.00.60.03.02.10.8;Xisto
3.00.60.03.00.00.5;Tecnologia química
3.00.60.03.00.10.3;Balanços globais de matéria e energia
3.00.60.03.00.20.1;Água
3.00.60.03.00.30.0;Álcool
3.00.60.03.00.40.8;Alimentos
3.00.60.03.00.50.6;Borrachas
3.00.60.03.00.60.4;Carvão
3.00.60.03.00.70.2;Cerâmica
3.00.60.03.00.80.0;Cimento
3.00.60.03.00.90.9;Couro
3.00.60.03.01.10.0;Fertilizantes
3.00.60.03.01.20.9;Medicamentos
3.00.60.03.01.30.7;Metais não-ferrosos
3.00.60.03.01.40.5;Óleos
3.00.60.03.01.50.3;Papel e celulose
3.00.60.03.01.60.1;Petróleo e petroquímica
3.00.60.03.01.70.0;Polímeros
3.00.60.03.01.80.8;Produtos naturais
3.00.60.03.01.90.6;Têxteis
3.00.70.00.00.00.0;Engenharia sanitária
3.00.70.01.00.00.7;Recursos hídricos
3.00.70.01.00.10.5;Planejamento integrado dos recursos hídricos
